year,exporter_code,importer_code,product_code,import_value_kusd,quantity_tons,product_description,exporter_name,exporter_iso3,importer_name,importer_iso3
2010,826,156,848620,49058.517,432.859,Machines and apparatus of a kind used solely or principally for the manufacture of semiconductor devices or of electronic integrated circuits,United Kingdom,GBR,China,CHN
2010,842,156,848620,1195057.035,517.219,Machines and apparatus of a kind used solely or principally for the manufacture of semiconductor devices or of electronic integrated circuits,USA,USA,China,CHN
2011,36,156,848620,148.43,0.485,Machines and apparatus of a kind used solely or principally for the manufacture of semiconductor devices or of electronic integrated circuits,Australia,AUS,China,CHN
2011,40,156,848620,30211.175,57.428,Machines and apparatus of a kind used solely or principally for the manufacture of semiconductor devices or of electronic integrated circuits,Austria,AUT,China,CHN
2011,56,156,848620,1.004,0.011,Machines and apparatus of a kind used solely or principally for the manufacture of semiconductor devices or of electronic integrated circuits,Belgium,BEL,China,CHN
2011,124,156,848620,1060.134,,Machines and apparatus of a kind used solely or principally for the manufacture of semiconductor devices or of electronic integrated circuits,Canada,CAN,China,CHN
2011,203,156,848620,781.542,1.459,Machines and apparatus of a kind used solely or principally for the manufacture of semiconductor devices or of electronic integrated circuits,Czechia,CZE,China,CHN
2011,246,156,848620,3112.554,5.089,Machines and apparatus of a kind used solely or principally for the manufacture of semiconductor devices or of electronic integrated circuits,Finland,FIN,China,CHN
2011,251,156,848620,17840.717,63.32,Machines and apparatus of a kind used solely or principally for the manufacture of semiconductor devices or of electronic integrated circuits,France,FRA,China,CHN
2011,276,156,848620,1521180.878,4509.446,Machines and apparatus of a kind used solely or principally for the manufacture of semiconductor devices or of electronic integrated circuits,Germany,DEU,China,CHN
2011,344,156,848620,32414.622,83.67,Machines and apparatus of a kind used solely or principally for the manufacture of semiconductor devices or of electronic integrated circuits,"China, Hong Kong SAR",HKG,China,CHN
2011,348,156,848620,320.0,13.8,Machines and apparatus of a kind used solely or principally for the manufacture of semiconductor devices or of electronic integrated circuits,Hungary,HUN,China,CHN
2011,372,156,848620,4031.054,70.874,Machines and apparatus of a kind used solely or principally for the manufacture of semiconductor devices or of electronic integrated circuits,Ireland,IRL,China,CHN
2011,376,156,848620,1106.92,5.4,Machines and apparatus of a kind used solely or principally for the manufacture of semiconductor devices or of electronic integrated circuits,Israel,ISR,China,CHN
2011,380,156,848620,731009.18,3499.438,Machines and apparatus of a kind used solely or principally for the manufacture of semiconductor devices or of electronic integrated circuits,Italy,ITA,China,CHN
2011,392,156,848620,876222.304,3232.247,Machines and apparatus of a kind used solely or principally for the manufacture of semiconductor devices or of electronic integrated circuits,Japan,JPN,China,CHN
2011,410,156,848620,275643.35,1153.401,Machines and apparatus of a kind used solely or principally for the manufacture of semiconductor devices or of electronic integrated circuits,Rep. of Korea,KOR,China,CHN
