product_code,exporter_code,year,exporter_name,exporter_iso3,product_description,product_group,import_value_kusd,quantity_tons,importer_code,importer_name,importer_iso3,US,Post2018,Post2022,Post2023,US_Post2018,US_Post2022,US_Post2023,Period_2018_2021,Period_2022,Period_2023_2024,US_Period_2018_2021,US_Period_2022,US_Period_2023_2024,ln_import_value,asinh_import_value,product_year_total_kusd,import_share,post2018_label
848620,276,2015,Germany,DEU,Machines and apparatus of a kind used solely or principally for the manufacture of semiconductor devices or of electronic integrated circuits,equipment,151605.315,1280.235,156,China,CHN,0,0,0,0,0,0,0,0,0,0,0,0,0,11.929042406995658,12.62218299151342,4499493.777,0.033693860357127015,pre-2018
848620,276,2016,Germany,DEU,Machines and apparatus of a kind used solely or principally for the manufacture of semiconductor devices or of electronic integrated circuits,equipment,271092.805,2141.682,156,China,CHN,0,0,0,0,0,0,0,0,0,0,0,0,0,12.510220183879294,13.20336367567578,5252597.518,0.05161118933460989,pre-2018
848620,276,2017,Germany,DEU,Machines and apparatus of a kind used solely or principally for the manufacture of semiconductor devices or of electronic integrated circuits,equipment,500351.743,3825.273,156,China,CHN,0,0,0,0,0,0,0,0,0,0,0,0,0,13.123068614666062,13.816213796634985,6602496.921,0.07578220012622404,pre-2018
848620,276,2018,Germany,DEU,Machines and apparatus of a kind used solely or principally for the manufacture of semiconductor devices or of electronic integrated circuits,equipment,490584.615,3320.449,156,China,CHN,0,1,0,0,0,0,0,1,0,0,0,0,0,13.10335508913735,13.796500231316067,11170503.327,0.04391786123139302,2018+
848620,276,2019,Germany,DEU,Machines and apparatus of a kind used solely or principally for the manufacture of semiconductor devices or of electronic integrated circuits,equipment,519427.553,5025.004,156,China,CHN,0,1,0,0,0,0,0,1,0,0,0,0,0,13.160484549745645,13.853629805112076,10545700.397,0.04925491275551169,2018+
848620,276,2020,Germany,DEU,Machines and apparatus of a kind used solely or principally for the manufacture of semiconductor devices or of electronic integrated circuits,equipment,351647.749,2544.725,156,China,CHN,0,1,0,0,0,0,0,1,0,0,0,0,0,12.770388084215263,13.463532421026398,13911202.336,0.025278027053778886,2018+
848620,276,2021,Germany,DEU,Machines and apparatus of a kind used solely or principally for the manufacture of semiconductor devices or of electronic integrated circuits,equipment,503901.198,3104.618,156,China,CHN,0,1,0,0,0,0,0,1,0,0,0,0,0,13.130137476635758,13.823282672682637,21386953.645,0.023561148837006326,2018+
848620,276,2022,Germany,DEU,Machines and apparatus of a kind used solely or principally for the manufacture of semiconductor devices or of electronic integrated circuits,equipment,293861.49,1585.574,156,China,CHN,0,1,1,0,0,0,0,0,1,0,0,0,0,12.590867215816756,13.28401099342163,18350460.652,0.016013848130181533,2018+
848620,276,2023,Germany,DEU,Machines and apparatus of a kind used solely or principally for the manufacture of semiconductor devices or of electronic integrated circuits,equipment,247913.13,1179.012,156,China,CHN,0,1,1,1,0,0,0,0,0,1,0,0,0,12.420837715188748,13.113980862089907,26567329.043,0.009331503727708019,2018+
848620,276,2024,Germany,DEU,Machines and apparatus of a kind used solely or principally for the manufacture of semiconductor devices or of electronic integrated circuits,equipment,400828.764,1302.107,156,China,CHN,0,1,1,1,0,0,0,0,0,1,0,0,0,12.90129208747259,13.59443677320627,33096810.847,0.01211079719592779,2018+
